Layers,Neurons,batch,optimiser,keras,epochs,dropout,train %,activation,RMSE,VAL_RMSE,Objective,mae,val_mae,R2,R2_v,final
1,16,10,Adam,normal,200,0,0.05,tanh,0.176808276,0.447416251,0.687887737,0.13645916,0.32988328,0.968738834,0.714560153,0.841649493
3,"(19, 10, 17)",10,Adam,uniform,200,0.1,0.05,elu,0.239278154,0.540558323,0.610081762,0.28010404,0.3477501,0.942745965,0.684563775,0.81365487
2,"(18, 18)",10,Adam,normal,200,0.2,0.05,elu,0.305598001,0.573584763,0.560408618,0.34435588,0.35346398,0.906609862,0.704540613,0.805575237
1,11,10,Adam,uniform,200,0,0.05,tanh,0.172915998,0.511072012,0.658005995,0.12343233,0.3738234,0.970100058,0.628810896,0.799455477
1,4,10,Adam,uniform,200,0.1,0.05,elu,0.372184349,0.473474532,0.57717056,0.34588578,0.33587027,0.86147881,0.727487452,0.794483131
2,"(14, 10)",10,Adam,normal,150,0,0.05,elu,0.24844714,0.65922394,0.54616446,0.192504,0.41887504,0.938274019,0.637061032,0.787667525
2,"(16, 12)",10,Adam,normal,200,0.1,0.05,relu,0.249454345,0.588567948,0.580988854,0.26144305,0.3896826,0.93777253,0.629805767,0.783789149
2,"(16, 12)",10,Adam,normal,150,0.1,0.05,elu,0.284509611,0.59365116,0.560919614,0.28295037,0.38118333,0.919054281,0.638934298,0.77899429
1,16,10,Adam,normal,200,0.1,0.05,elu,0.270670703,0.533358898,0.5979852,0.2541615,0.3339248,0.926737371,0.628797389,0.77776738
1,11,10,Adam,uniform,200,0.2,0.05,elu,0.296861039,0.501478909,0.600830026,0.314455,0.33227164,0.911873523,0.642662315,0.777267919
2,"(15, 16)",10,Adam,normal,150,0.1,0.05,relu,0.334509066,0.508369576,0.578560679,0.34207508,0.35078847,0.888103685,0.666035266,0.777069476
2,"(16, 12)",10,Adam,normal,100,0.1,0.05,elu,0.361315734,0.526718019,0.555983124,0.3214598,0.34084085,0.86945094,0.683512018,0.776481479
2,"(16, 12)",10,Adam,normal,100,0.1,0.05,elu,0.379546883,0.480221904,0.570115606,0.3301741,0.32034472,0.855944163,0.692422037,0.7741831
1,16,10,Adam,uniform,200,0,0.25,tanh,0.143761944,0.705223115,0.57550747,0.09844175,0.53114176,0.979332503,0.564806587,0.772069545
3,"(19, 10, 17)",10,Adam,normal,200,0.1,0.05,elu,0.253825334,0.561656176,0.592259245,0.25974283,0.3795995,0.9355727,0.604678421,0.770125561
1,7,10,Adam,uniform,200,0,0.25,tanh,0.260760648,0.669296293,0.534971529,0.20049125,0.5366383,0.932003884,0.606985119,0.769494501
2,"(16, 12)",10,Adam,normal,200,0.2,0.05,elu,0.328087023,0.494474222,0.588719378,0.35842675,0.38251075,0.892358905,0.642016406,0.767187655
2,"(16, 12)",10,Adam,uniform,150,0.1,0.05,relu,0.321001141,0.558419847,0.560289506,0.34440032,0.35818842,0.896958267,0.636574999,0.766766633
1,8,10,Adam,normal,200,0,0.05,elu,0.318669388,0.502988747,0.589170933,0.2428278,0.35266104,0.898449821,0.634490366,0.766470093
2,"(16, 12)",10,Adam,normal,150,0.1,0.05,elu,0.253850792,0.608662158,0.568743525,0.2692985,0.36856794,0.935559776,0.595121591,0.765340683
1,18,10,Adam,uniform,150,0.4,0.05,tanh,0.377377092,0.515638382,0.553492263,0.3907094,0.38885975,0.857586531,0.672965194,0.765275862
